,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
48,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vw-up-com-gnv-5-738016882,vwvolkswagen,24800,hatch,up,manual,2015,75,1,flex,elétrica,preto,0,up  move 1.0 t. flex 12v 3p,0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
49,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_new-fiesta-s-1-5-mod-2014-693553742,ford,29900,hatch,fiesta,manual,2014,55000,1.5,flex,hidráulica,vermelho,não,fiesta se 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
50,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-ecosport-1-5-freestyle-aut-587056069,ford,67500,suv,ecosport,automático,2018,9000,1.5,flex,elétrica,prata,sim,ecosport freestyle 1.5 12v flex 5p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré, c mera de ré",0
51,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-ka-2018-muito-novo-737560204,ford,32900,hatch,ka,manual,2018,23000,1,flex,elétrica,branco,sim,0,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
52,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vendo-fox-1-6-4-portas-723713499,vwvolkswagen,28000,passeio,fox,manual,2014,70000,1.6,flex,elétrica,prata,não,fox trendline 1.6 flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",1
53,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ecosport-1-6-se-automatica-738365378,ford,51900,0,ecosport,automático,2017,60,1.6,flex,elétrica,branco,0,ecosport se 1.6 16v flex 5p aut.,0,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",0
54,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_focus-hatch-2-0-se-723509390,ford,36990,hatch,focus,automático,2014,99500,2.02.9,flex,elétrica,cinza,sim,focus 2.0 16v se se plus flex 5p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
55,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_new-fiesta-2013-734787743,ford,29000,hatch,fiesta,manual,2013,118000,0,flex,elétrica,0,sim,fiesta 1.6 16v flex mec. 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",1
56,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_fox-rock-in-rio-1-6-flex-731296306,vwvolkswagen,34500,hatch,fox,manual,2016,101000,1.6,flex,hidráulica,preto,sim,fox rock in rio 1.6 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
57,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-focus-titanium-plus-hatch-725362052,ford,54900,hatch,focus,automático,2016,68000,2.02.9,flex,elétrica,branco,não,0,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré, c mera de ré",0
